City,Country,IATA,Airport
Savannah/Hilton Head,United States (Georgia),SAV,Savannah/Hilton Head International Airport
Seattle/Tacoma,United States (Washington),SEA,Seattle-Tacoma International Airport†
Shreveport,United States (Louisiana),SHV,Shreveport Regional Airport
Sioux Falls,United States (South Dakota),FSD,Sioux Falls Regional Airport
South Bend,United States (Indiana),SBN,South Bend International Airport
Spokane,United States (Washington),GEG,Spokane International Airport
Springfield/Branson,United States (Missouri),SGF,Springfield Branson Regional Airport
St. George,United States (Utah),SGU,St. George Regional Airport
St. Louis,United States (Missouri),STL,St. Louis Lambert International Airport
State College,United States (Pennsylvania),SCE,University Park Airport
Sun Valley,United States (Idaho),SUN,Friedman Memorial Airport
Syracuse,United States (New York),SYR,Syracuse Hancock International Airport
Tallahassee,United States (Florida),TLH,Tallahassee International Airport
Tampa/St. Petersburg/Clearwater,United States (Florida),TPA,Tampa International Airport
Toronto,Canada (Ontario),YYZ,Toronto Pearson International Airport
Traverse City,United States (Michigan),TVC,Cherry Capital Airport
Tucson,United States (Arizona),TUS,Tucson International Airport
Tulsa,United States (Oklahoma),TUL,Tulsa International Airport
Twin Falls,United States (Idaho),TWF,Joslin Field - Magic Valley Regional Airport
Valdosta,United States (Georgia),VLD,Valdosta Regional Airport
Vancouver,Canada (British Columbia),YVR,Vancouver International Airport
Victoria,Canada (British Columbia),YYJ,Victoria International Airport
Washington D.C. (WAS)*,United States (District of Columbia),DCA,Ronald Reagan Washington National Airport
Washington D.C. (WAS)*,United States (District of Columbia),IAD,Washington Dulles International Airport
Wausau,United States (Wisconsin),CWA,Central Wisconsin Airport
White Plains,United States (New York),HPN,Westchester County Airport
Wichita,United States (Kansas),ICT,Wichita Eisenhower National Airport
Wilkes-Barre/Scranton,United States (Pennsylvania),AVP,Scranton International Airport
Williston,United States (North Dakota),ISN,Sloulin Field International Airport
Wilmington,United States (North Carolina),ILM,Wilmington International Airport
Winnipeg,Canada (Manitoba),YWG,Winnipeg James Armstrong Richardson International Airport
Worcester,United States (Massachusetts),ORH,Worcester Regional Airport
